"","feature","metadata","value","coef","stderr","pval","name","qval","N","N.not.zero","tern1"
"86","UniRef90_A0A0T9AFK1","Group","WT-Old",-1.21439816789654,0.163476573353184,1.8362651758473e-09,"GroupWT-Old",1.7525656469017e-07,51,50,"WT_Old depleted gene families"
"88","UniRef90_A0A0E9G641","Group","WT-Old",-1.51964447268919,0.205357283197663,2.02795941273367e-09,"GroupWT-Old",1.87744222174852e-07,51,50,"WT_Old depleted gene families"
"89","UniRef90_A0A0T8ADC9","Group","WT-Old",-1.1557177149531,0.156269111667037,2.05859892735584e-09,"GroupWT-Old",1.87744222174852e-07,51,51,"WT_Old depleted gene families"
"90","UniRef90_A4VW24","Group","WT-Old",-1.30103027255683,0.175915649830547,2.0580752304145e-09,"GroupWT-Old",1.87744222174852e-07,51,49,"WT_Old depleted gene families"
"91","UniRef90_A0A0F2CZZ9","Group","WT-Old",-1.41292611568726,0.191318521104032,2.13502427110548e-09,"GroupWT-Old",1.92574496892679e-07,51,51,"WT_Old depleted gene families"
"92","UniRef90_A0A239SYA6","Group","WT-Old",-1.39575848921328,0.189327759797515,2.23391439884748e-09,"GroupWT-Old",1.99304015062393e-07,51,50,"WT_Old depleted gene families"
"94","UniRef90_E8JWE0","Group","WT-Old",-1.55075551968678,0.210845675881569,2.37202341555885e-09,"GroupWT-Old",2.07123065903266e-07,51,49,"WT_Old depleted gene families"
"95","UniRef90_A8AVG0","Group","WT-Old",-1.52067441122454,0.207140544544585,2.48747681421449e-09,"GroupWT-Old",2.14917996748132e-07,51,50,"WT_Old depleted gene families"
"96","UniRef90_A0A0T8YGT9","Group","WT-Old",-1.42312930525958,0.194040270727033,2.5494459019486e-09,"GroupWT-Old",2.17977624616605e-07,51,50,"WT_Old depleted gene families"
"97","UniRef90_A0A150NJC5","Group","WT-Old",-1.20771985678658,0.165185325937734,2.76084592847618e-09,"GroupWT-Old",2.33618797741572e-07,51,50,"WT_Old depleted gene families"
"98","UniRef90_A0A0Z8FW41","Group","WT-Old",-1.49343525561337,0.204715919946554,2.92040985022017e-09,"GroupWT-Old",2.42128525763709e-07,51,50,"WT_Old depleted gene families"
"100","UniRef90_A0A0T8XNK5","Group","WT-Old",-1.40869616968427,0.19336924091146,3.02547438166599e-09,"GroupWT-Old",2.48330937247145e-07,51,50,"WT_Old depleted gene families"
"101","UniRef90_F9HFA5","Group","WT-Old",-1.39123664555644,0.191151502227412,3.09815066532222e-09,"GroupWT-Old",2.5177842238579e-07,51,50,"WT_Old depleted gene families"
"104","UniRef90_A0A0T9GPY4","Group","WT-Old",-1.38846190327299,0.192852972289092,4.07390886547942e-09,"GroupWT-Old",3.21525422767837e-07,51,50,"WT_Old depleted gene families"
"105","UniRef90_A0A0T9H2Y4","Group","WT-Old",-1.22631667993756,0.170466326206486,4.15555787803929e-09,"GroupWT-Old",3.24845895837586e-07,51,50,"WT_Old depleted gene families"
"106","UniRef90_A0A0Z8NPW7","Group","WT-Old",-1.19563741344878,0.166844584198913,4.577126779234e-09,"GroupWT-Old",3.5442506230144e-07,51,50,"WT_Old depleted gene families"
"107","UniRef90_Q8DU21","Group","WT-Old",-1.36970169292038,0.191538755155065,4.8251074484925e-09,"GroupWT-Old",3.70135345207724e-07,51,49,"WT_Old depleted gene families"
"108","UniRef90_A0A380KG45","Group","WT-Old",-1.72472400175313,0.241561114886787,5.01614064117198e-09,"GroupWT-Old",3.8122668872907e-07,51,50,"WT_Old depleted gene families"
"109","UniRef90_A0A116LHW4","Group","WT-Old",-1.35255598404746,0.189565816937561,5.10236314067813e-09,"GroupWT-Old",3.84221987694368e-07,51,50,"WT_Old depleted gene families"
"110","UniRef90_J0VDB1","Group","WT-Old",-1.26919321709628,0.178078676237246,5.24438304018699e-09,"GroupWT-Old",3.91326327216862e-07,51,50,"WT_Old depleted gene families"
"116","UniRef90_A0A0T9GVD3","Group","WT-Old",-1.18408398946631,0.167613288056837,6.52832465638155e-09,"GroupWT-Old",4.53733474105053e-07,51,50,"WT_Old depleted gene families"
"117","UniRef90_A0A117DHJ2","Group","WT-Old",-1.29845890861664,0.183765495546987,6.4949868383351e-09,"GroupWT-Old",4.53733474105053e-07,51,50,"WT_Old depleted gene families"
"118","UniRef90_E6J455","Group","WT-Old",-1.50927857890761,0.213508826898788,6.42552381498393e-09,"GroupWT-Old",4.53733474105053e-07,51,49,"WT_Old depleted gene families"
"119","UniRef90_P0A4S1","Group","WT-Old",-1.26150740763997,0.178675127932941,6.62099471166248e-09,"GroupWT-Old",4.53733474105053e-07,51,50,"WT_Old depleted gene families"
"120","UniRef90_UPI00037E308E","Group","WT-Old",-2.34427047044489,0.332059074081194,6.63353032317328e-09,"GroupWT-Old",4.53733474105053e-07,51,48,"WT_Old depleted gene families"
"121","UniRef90_A0A0U0KV66","Group","WT-Old",-1.27138931432136,0.180770372763688,7.2796066072177e-09,"GroupWT-Old",4.81862992193894e-07,51,50,"WT_Old depleted gene families"
"122","UniRef90_A0A139QHL0","Group","WT-Old",-1.3784771447053,0.19596174326564,7.24799547592136e-09,"GroupWT-Old",4.81862992193894e-07,51,50,"WT_Old depleted gene families"
"123","UniRef90_E1M6B8","Group","WT-Old",-1.2324865869948,0.175234223084173,7.27468173326977e-09,"GroupWT-Old",4.81862992193894e-07,51,50,"WT_Old depleted gene families"
"126","UniRef90_UPI0009914BA2","Group","WT-Old",-1.46012634429095,0.208424619526497,8.01699850865848e-09,"GroupWT-Old",5.22250188564038e-07,51,49,"WT_Old depleted gene families"
"127","UniRef90_UPI0005E9D515","Group","WT-Old",-1.22871369282312,0.175483678474243,8.12033997602997e-09,"GroupWT-Old",5.24816933253969e-07,51,50,"WT_Old depleted gene families"
"128","UniRef90_A0A0T9GX46","Group","WT-Old",-1.24017546959315,0.177627077390974,8.70664235488907e-09,"GroupWT-Old",5.58313441007262e-07,51,50,"WT_Old depleted gene families"
"129","UniRef90_A8AZL0","Group","WT-Old",-1.7447881284969,0.250043661886372,8.82825240786875e-09,"GroupWT-Old",5.61723222975091e-07,51,50,"WT_Old depleted gene families"
"130","UniRef90_C5WFM2","Group","WT-Old",-2.35336743978831,0.338098485670691,9.37933267682009e-09,"GroupWT-Old",5.92196635471841e-07,51,50,"WT_Old depleted gene families"
"131","UniRef90_E1M6B7","Group","WT-Old",-1.17886656972064,0.169498706385574,9.56391637241174e-09,"GroupWT-Old",5.99241416677524e-07,51,50,"WT_Old depleted gene families"
"132","UniRef90_A0A0T8ADH9","Group","WT-Old",-1.23092969924758,0.177447057413558,1.01893675928973e-08,"GroupWT-Old",6.33593403049247e-07,51,50,"WT_Old depleted gene families"
"133","UniRef90_Q1JF24","Group","WT-Old",-1.35016674295539,0.194754062784248,1.03402919691618e-08,"GroupWT-Old",6.38143732953985e-07,51,49,"WT_Old depleted gene families"
"134","UniRef90_UPI000475CBC1","Group","WT-Old",-1.3207157924382,0.190653341002498,1.05357666444762e-08,"GroupWT-Old",6.45355019536271e-07,51,49,"WT_Old depleted gene families"
"135","UniRef90_W1UQ88","Group","WT-Old",-1.3655716210689,0.197200559800336,1.0629290416184e-08,"GroupWT-Old",6.46260857303987e-07,51,50,"WT_Old depleted gene families"
"136","UniRef90_UPI00067AFF56","Group","WT-Old",-1.83490942910684,0.265346935748946,1.09938784797885e-08,"GroupWT-Old",6.63512901191943e-07,51,50,"WT_Old depleted gene families"
"137","UniRef90_A0A0T7T4K2","Group","WT-Old",-1.39606941760099,0.202072622157986,1.12418054987368e-08,"GroupWT-Old",6.73523646230889e-07,51,50,"WT_Old depleted gene families"
"138","UniRef90_J1NR57","Group","WT-Old",-1.73779866392721,0.25167598070907,1.13939119654357e-08,"GroupWT-Old",6.7409331683993e-07,51,49,"WT_Old depleted gene families"
"139","UniRef90_P65239","Group","WT-Old",-1.51026462172152,0.218740669944325,1.14155666472649e-08,"GroupWT-Old",6.7409331683993e-07,51,50,"WT_Old depleted gene families"
"140","UniRef90_J1NS44","Group","WT-Old",-1.27472514782878,0.184930972336293,1.18788056326186e-08,"GroupWT-Old",6.96437404518097e-07,51,50,"WT_Old depleted gene families"
"141","UniRef90_UPI00099DAC99","Group","WT-Old",-1.19784141010504,0.174094896766189,1.24128834210438e-08,"GroupWT-Old",7.22588277446295e-07,51,50,"WT_Old depleted gene families"
"142","UniRef90_A0A1H1BP51","Group","WT-Old",-1.57898547987166,0.230022094347366,1.31221390470142e-08,"GroupWT-Old",7.58496600689385e-07,51,49,"WT_Old depleted gene families"
"143","UniRef90_A8AWM9","Group","WT-Old",-1.23291689799324,0.179667455817112,1.32270712560624e-08,"GroupWT-Old",7.59215390697624e-07,51,50,"WT_Old depleted gene families"
"144","UniRef90_A0A2X3VKK7","Group","WT-Old",-1.29267855386205,0.18862054328678,1.36444089503686e-08,"GroupWT-Old",7.77731310171008e-07,51,49,"WT_Old depleted gene families"
"145","UniRef90_UPI00083E39B9","Group","WT-Old",-1.04084410624798,0.151960098069872,1.38303244881436e-08,"GroupWT-Old",7.82891747577122e-07,51,50,"WT_Old depleted gene families"
"146","UniRef90_A0A100EI95","Group","WT-Old",-1.22224485722853,0.178538219300415,1.40060640051906e-08,"GroupWT-Old",7.87409406538385e-07,51,50,"WT_Old depleted gene families"
"147","UniRef90_A0A0T9GU30","Group","WT-Old",-1.14701981109366,0.167837991878786,1.45935789305177e-08,"GroupWT-Old",8.08374677375943e-07,51,50,"WT_Old depleted gene families"
"148","UniRef90_A0A0T9H027","Group","WT-Old",-1.53069890557094,0.224124839605795,1.48207290401727e-08,"GroupWT-Old",8.08374677375943e-07,51,50,"WT_Old depleted gene families"
"149","UniRef90_A0A139PP12","Group","WT-Old",-1.50329235611532,0.22014345458704,1.48714152392504e-08,"GroupWT-Old",8.08374677375943e-07,51,50,"WT_Old depleted gene families"
"150","UniRef90_F9PA31","Group","WT-Old",-1.61825903427334,0.236919083946822,1.47814948059511e-08,"GroupWT-Old",8.08374677375943e-07,51,50,"WT_Old depleted gene families"
"151","UniRef90_J1DEC0","Group","WT-Old",-1.63972630095414,0.239857568261102,1.44837627812099e-08,"GroupWT-Old",8.08374677375943e-07,51,50,"WT_Old depleted gene families"
"152","UniRef90_I0SVV0","Group","WT-Old",-1.25127085079021,0.183370282803977,1.51313059615315e-08,"GroupWT-Old",8.17090521922699e-07,51,50,"WT_Old depleted gene families"
"153","UniRef90_T1ZBY4","Group","WT-Old",-1.42758882657406,0.209404987622262,1.54725977663466e-08,"GroupWT-Old",8.30059362524005e-07,51,49,"WT_Old depleted gene families"
"155","UniRef90_A0A111BWP9","Group","WT-Old",-1.26398795338045,0.185571928460741,1.58032440542587e-08,"GroupWT-Old",8.36858239982938e-07,51,51,"WT_Old depleted gene families"
"156","UniRef90_F9HEG7","Group","WT-Old",-1.53025275167515,0.224975501847487,1.63338671579169e-08,"GroupWT-Old",8.59412702770395e-07,51,50,"WT_Old depleted gene families"
"157","UniRef90_D5AJB4","Group","WT-Old",-1.25122974789043,0.184436467620457,1.73823964247702e-08,"GroupWT-Old",9.01698065739578e-07,51,50,"WT_Old depleted gene families"
"158","UniRef90_M4YZL7","Group","WT-Old",-1.31047075692865,0.193208435344969,1.74671043436395e-08,"GroupWT-Old",9.01698065739578e-07,51,49,"WT_Old depleted gene families"
"159","UniRef90_UPI00099DBDEE","Group","WT-Old",-1.39250071463566,0.205257802966187,1.73771892641683e-08,"GroupWT-Old",9.01698065739578e-07,51,50,"WT_Old depleted gene families"
"160","UniRef90_F9Q0V3","Group","WT-Old",-1.29763154191334,0.191369044645268,1.75834091808962e-08,"GroupWT-Old",9.02028890979975e-07,51,50,"WT_Old depleted gene families"
"161","UniRef90_A0A139PJ49","Group","WT-Old",-2.12364195952995,0.314363459172242,1.92171857874022e-08,"GroupWT-Old",9.79718390950293e-07,51,47,"WT_Old depleted gene families"
"162","UniRef90_A0A0U0K9I6","Group","WT-Old",-1.18260268056827,0.175119628846408,1.93695457653577e-08,"GroupWT-Old",9.81390318778124e-07,51,50,"WT_Old depleted gene families"
"163","UniRef90_A0A139P9C7","Group","WT-Old",-1.49387526811372,0.221806400160178,2.06331668096625e-08,"GroupWT-Old",1.03900020351969e-06,51,49,"WT_Old depleted gene families"
"164","UniRef90_A0A2I5KF93","Group","WT-Old",-1.56804137359637,0.233253329855579,2.15595986284065e-08,"GroupWT-Old",1.0790316191583e-06,51,51,"WT_Old depleted gene families"
"165","UniRef90_E7S8Q5","Group","WT-Old",-1.33594776259706,0.198979027228141,2.22077393227882e-08,"GroupWT-Old",1.10473408703907e-06,51,49,"WT_Old depleted gene families"
"166","UniRef90_A0A0T7T3L1","Group","WT-Old",-1.33112076385275,0.198719106600049,2.3445561883101e-08,"GroupWT-Old",1.15928416829213e-06,51,49,"WT_Old depleted gene families"
"167","UniRef90_A0A068AWN2","Group","WT-Old",-1.52554797933043,0.228352106039753,2.49534535084608e-08,"GroupWT-Old",1.22645476884698e-06,51,50,"WT_Old depleted gene families"
"168","UniRef90_A0A0Z8M777","Group","WT-Old",-1.08336602714676,0.162436050284583,2.59494801611929e-08,"GroupWT-Old",1.26031558084658e-06,51,50,"WT_Old depleted gene families"
"169","UniRef90_A0A139MII9","Group","WT-Old",-1.23274224755697,0.184808905900765,2.58707135050064e-08,"GroupWT-Old",1.26031558084658e-06,51,50,"WT_Old depleted gene families"
"170","UniRef90_A0A0E2J530","Group","WT-Old",-1.20898061178414,0.18136019542338,2.62514282079221e-08,"GroupWT-Old",1.2659873711861e-06,51,51,"WT_Old depleted gene families"
"172","UniRef90_UPI00077941E4","Group","WT-Old",-1.15638926265193,0.173582754659442,2.66487459275837e-08,"GroupWT-Old",1.27170294519539e-06,51,50,"WT_Old depleted gene families"
"174","UniRef90_A0A077ZKY0","Group","WT-Old",-0.776892109081616,0.116786360228862,2.75626047424681e-08,"GroupWT-Old",1.29442202182936e-06,51,51,"WT_Old depleted gene families"
"175","UniRef90_Q8DQI3","Group","WT-Old",-1.32124756276563,0.198676222582941,2.77556378949765e-08,"GroupWT-Old",1.29442202182936e-06,51,51,"WT_Old depleted gene families"
"176","UniRef90_W1VQB7","Group","WT-Old",-1.74194168610805,0.261915054479203,2.77038822798009e-08,"GroupWT-Old",1.29442202182936e-06,51,48,"WT_Old depleted gene families"
"178","UniRef90_F9PAZ1","Group","WT-Old",-1.37794834765276,0.207997469427155,3.03368702897329e-08,"GroupWT-Old",1.39890467043892e-06,51,50,"WT_Old depleted gene families"
"179","UniRef90_A0A0U0H532","Group","WT-Old",-1.45100727701823,0.219382625171958,3.15030704339696e-08,"GroupWT-Old",1.44456537498337e-06,51,49,"WT_Old depleted gene families"
"181","UniRef90_A0A0U0K9F7","Group","WT-Old",-1.20283913511291,0.182375157831266,3.36252249326033e-08,"GroupWT-Old",1.48384863573552e-06,51,50,"WT_Old depleted gene families"
"182","UniRef90_A0A0U0KPN3","Group","WT-Old",-1.51517525860262,0.229730201396157,3.36200312962346e-08,"GroupWT-Old",1.48384863573552e-06,51,48,"WT_Old depleted gene families"
"183","UniRef90_A0A0U0L7C6","Group","WT-Old",-1.48703418120387,0.225362996307559,3.32760259414138e-08,"GroupWT-Old",1.48384863573552e-06,51,50,"WT_Old depleted gene families"
"184","UniRef90_A0A124BMY0","Group","WT-Old",-1.25907175575754,0.190821929087195,3.33045869061477e-08,"GroupWT-Old",1.48384863573552e-06,51,50,"WT_Old depleted gene families"
"185","UniRef90_A0A150NWW9","Group","WT-Old",-1.3627052332211,0.20660420271048,3.35879071573819e-08,"GroupWT-Old",1.48384863573552e-06,51,50,"WT_Old depleted gene families"
"186","UniRef90_F9PYN4","Group","WT-Old",-1.79129273985774,0.271452742664972,3.32159703872618e-08,"GroupWT-Old",1.48384863573552e-06,51,50,"WT_Old depleted gene families"
"187","UniRef90_Q04JH9","Group","WT-Old",-1.29928622406816,0.197201391091304,3.4432815631868e-08,"GroupWT-Old",1.50402573382441e-06,51,50,"WT_Old depleted gene families"
"188","UniRef90_UPI00076937D6","Group","WT-Old",-1.59071445030232,0.241438311435662,3.44489324998767e-08,"GroupWT-Old",1.50402573382441e-06,51,50,"WT_Old depleted gene families"
"189","UniRef90_A5LQI6","Group","WT-Old",-1.42254498501432,0.216371469940131,3.61706562102418e-08,"GroupWT-Old",1.57083992684479e-06,51,50,"WT_Old depleted gene families"
"190","UniRef90_UPI000CF36DB2","Group","WT-Old",-2.78264341125032,0.423882707257636,3.74445737333792e-08,"GroupWT-Old",1.61760558528198e-06,51,51,"WT_Old depleted gene families"
"191","UniRef90_A0A0T9GUZ1","Group","WT-Old",-1.17731705026454,0.179922001716905,4.03223969415179e-08,"GroupWT-Old",1.73280750835591e-06,51,50,"WT_Old depleted gene families"
"192","UniRef90_A0A0U0KPL3","Group","WT-Old",-1.48207295755958,0.226617951632509,4.08223625205758e-08,"GroupWT-Old",1.74515599775462e-06,51,48,"WT_Old depleted gene families"
"194","UniRef90_A0A0D0ZIG5","Group","WT-Old",-1.22535752027738,0.187544891102245,4.17300156422519e-08,"GroupWT-Old",1.7655668473794e-06,51,51,"WT_Old depleted gene families"
"195","UniRef90_A0A0T9GW70","Group","WT-Old",-1.46249391511066,0.223924486071034,4.20940768625282e-08,"GroupWT-Old",1.77183683532119e-06,51,50,"WT_Old depleted gene families"
"197","UniRef90_E1MAG1","Group","WT-Old",-1.37993949408801,0.211846759514971,4.47254546721472e-08,"GroupWT-Old",1.86348493375119e-06,51,49,"WT_Old depleted gene families"
